Facility,Survey Item,Response,Auditor-assigned Category,Re-assigned response?,Translated?,Original Language,space_size,maintenance,parking_availability,parking_cost,parking_safety,parking_external_pressure,hours,accessibility_location,equity_comparison,general_satisfaction,non_substantive,programming_content,booking_policy,any_code
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,stick to the fundamentals.....,,False,False,English,False,False,False,False,False,False,False,False,False,False,True,False,False,True
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,parking at this center during events can caus traffic accidents on cameron.  having additional parking across the street makes it dangerous for drivers on cameron.  the lemming effect.,Negative,False,False,English,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Increase Marketing and get more word out there. Replace elevator.,Negative,True,False,English,False,True,False,False,False,False,False,False,False,False,False,True,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"I've already mention the parking issue...stages are limited, which then limits the type of performances ESB-MACC can sponsor/or rent. When will the remaining phases be built? And will there be citizens communications meeting held?",Negative,False,False,English,True,False,True,False,False,False,False,False,False,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Very unorganized rooms not enough sitting meeting area.,Negative,False,False,English,True,True,False,False,False,False,False,False,False,False,False,False,False,True
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,"1.) None at  this time.
2.) Need  for better weekend and evening hours.",Suggestion,False,False,English,False,False,False,False,False,False,True,False,False,False,False,False,False,True
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,"The theater is need of a makeover, with redesign in mind. Seating chairs are torn, sound table in the wrong location and easier accessibility to lighting. A budget for maintenance would be helpful",Negative,False,False,English,False,True,False,False,False,False,False,False,False,False,False,False,False,True
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,One of the premiere facilities in Austin.,Positive,False,False,English,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,I don't like the idea of building more parking lots but they have to use the lot down the block for big events. I think the transportation options are OK but is the city putting more busses and routes for asian-american communities?Space is well-maintained and I'd like to see more money for them to upgrade/restore some systems now that the building is over 7 years old. I am excited for the expansion to have a REAL THEATRE!!! Would like to see colocation with social service organizations too if there is demand,Suggestion,False,False,English,True,True,True,False,False,False,False,True,False,True,False,False,False,True
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,The Carver Museum is one of the most accessible facilities in the City.  The facility is going on 15 years.  I wish there was a bond package to expand the facility.,Positive,False,False,English,True,False,False,False,False,False,False,False,False,True,False,False,False,True
